station_name,station_telecode,province,city
TJP,天津,天津市,天津市
TXP,天津西,天津市,天津市
TBP,天津北,天津市,天津市
YQP,杨柳青,天津市,天津市
TIP,天津南,天津市,天津市
JMP,军粮城北,天津市,天津市
TGP,塘沽,天津市,天津市
FHP,滨海西,天津市,天津市
YKP,滨海,天津市,天津市
SHH,上海,上海市,上海市
SNH,上海南,上海市,上海市
AOH,上海虹桥,上海市,上海市
SXH,上海西,上海市,上海市
GZQ,广州,广东省,广州市
GGQ,广州东,广东省,广州市
IZQ,广州南,广东省,广州市
GBQ,广州北,广东省,广州市
CQW,重庆,重庆市,重庆市
CUW,重庆北,重庆市,重庆市
CRW,重庆南,重庆市,重庆市
CYW,沙坪坝,重庆市,重庆市
CXW,重庆西,重庆市,重庆市
BXP,北京西,北京市,北京市
BOP,北京东,北京市,北京市
VNP,北京南,北京市,北京市
BJP,北京,北京市,北京市
VBP,昌平北,北京市,北京市
ODP,三家店,北京市,北京市
QWQ,祁阳,湖南省,永州市
WUP,吴桥,河北省,沧州市
YAD,杨树岭,河北省,承德市
JGX,加格达奇,黑龙江省,大兴安岭地区
JYJ,靖远,甘肃省,白银市
CNJ,长农,宁夏回族自治区,中卫市
ZYJ,张掖,甘肃省,张掖市
ZEJ,张掖西,甘肃省,张掖市
LVK,临沂,山东省,临沂市
UYK,临沂东,山东省,临沂市
UMK,临沂北,山东省,临沂市
WVP,王安镇,河北省,保定市
KNW,从江,贵州省,黔东南苗族侗族自治州
BRT,北井子,辽宁省,丹东市
QIH,祁门,安徽省,黄山市
YPV,原平,山西省,忻州市
IPV,原平西,山西省,忻州市
JZD,锦州,辽宁省,锦州市
JOD,锦州南,辽宁省,锦州市
QXP,青县,河北省,沧州市
YBP,杨村,天津市,天津市
FTT,范家屯,吉林省,四平市
DHT,德惠,吉林省,长春市
DXT,德惠西,吉林省,长春市
WHX,乌尔旗汗,内蒙古自治区,呼伦贝尔市
JBN,荆州,湖北省,荆州市
JYK,巨野,山东省,菏泽市
HQM,鹤庆,云南省,大理白族自治州
JQX,江桥,黑龙江省,齐齐哈尔市
TRC,土牧尔台,内蒙古自治区,乌兰察布市
QYJ,七营,宁夏回族自治区,固原市
XTJ,许家台,甘肃省,兰州市
BZH,亳州,安徽省,亳州市
FDY,富县东,陕西省,延安市
NES,宁德,福建省,宁德市
NXF,内乡,河南省,南阳市
HAT,寒岭,辽宁省,辽阳市
SYT,沈阳,辽宁省,沈阳市
SBT,沈阳北,辽宁省,沈阳市
OXT,裕国,辽宁省,沈阳市
SOT,沈阳南,辽宁省,沈阳市
SXA,邵阳西,湖南省,邵阳市
ZZQ,株洲,湖南省,株洲市
ZAQ,株洲西,湖南省,株洲市
KVQ,株洲南,湖南省,株洲市
ZZC,卓资山,内蒙古自治区,乌兰察布市
ZDC,卓资东,内蒙古自治区,乌兰察布市
ZAF,郑州东,河南省,郑州市
ZZF,郑州,河南省,郑州市
NYF,南阳寨,河南省,郑州市
XPF,郑州西,河南省,郑州市
ZEK,枣庄,山东省,枣庄市
ZFK,枣庄西,山东省,枣庄市
ZNK,枣庄东,山东省,枣庄市
ZAP,涿州东,河北省,保定市
ZXP,涿州,河北省,保定市
WZW,资中北,四川省,内江市
ZNE,遵义南,贵州省,遵义市
ZYE,遵义,贵州省,遵义市
FYW,资阳北,四川省,资阳市
ZXJ,漳县,甘肃省,定西市
ZXE,镇雄,云南省,昭通市
ZTJ,中卫南,宁夏回族自治区,中卫市
ZWJ,中卫,宁夏回族自治区,中卫市
ZTA,中堂,广东省,东莞市
ZSE,朱砂古镇,贵州省,铜仁市
ZAZ,钟山西,广西壮族自治区,贺州市
KWQ,昭山,湖南省,湘潭市
NGH,宁波,浙江省,宁波市
ZQH,庄桥,浙江省,宁波市
FCQ,肇庆东,广东省,肇庆市
ZVQ,肇庆,广东省,肇庆市
WWQ,大旺,广东省,肇庆市
AHQ,四会,广东省,肇庆市
UWQ,鼎湖东,广东省,肇庆市
NVQ,鼎湖山,广东省,肇庆市
WZQ,端州,广东省,肇庆市
ZVK,章丘北,山东省,济南市
ZXG,漳平西,福建省,龙岩市
ZCS,漳浦,福建省,漳州市
ZLK,邹平,山东省,滨州市
ZDN,驻马店,河南省,驻马店市
ZLN,驻马店西,河南省,驻马店市
DAQ,常平,广东省,东莞市
DMQ,东莞东,广东省,东莞市
RTQ,东莞,广东省,东莞市
FQQ,常平东,广东省,东莞市
ZRQ,樟木头东,广东省,东莞市
KPQ,银瓶,广东省,东莞市
FPQ,常平南,广东省,东莞市
ZSN,左岭,湖北省,武汉市
ZOM,珠琳,云南省,文山壮族苗族自治州
IEW,巴中,四川省,巴中市
ZKN,周口,河南省,周口市
ZKF,周口东,河南省,周口市
HCQ,惠州,广东省,惠州市
KDQ,惠东,广东省,惠州市
KNQ,惠州南,广东省,惠州市
KBQ,沥林北,广东省,惠州市
KKQ,仲恺,广东省,惠州市
KHQ,惠环,广东省,惠州市
KFQ,龙丰,广东省,惠州市
WDQ,西湖东,广东省,惠州市
KZQ,云山,广东省,惠州市
NKQ,小金口,广东省,惠州市
DIQ,张家界,湖南省,张家界市
JXA,张家界西,湖南省,张家界市
ZMP,张家口,河北省,张家口市
IXP,张家口南,河北省,张家口市
IZW,织金,贵州省,毕节市
ZPQ,芷江,湖南省,怀化市
ZIJ,张家川,甘肃省,天水市
GYW,广元,四川省,广元市
ZUT,庄河北,辽宁省,大连市
ZEC,准格尔,内蒙古自治区,鄂尔多斯市
ZMN,纸坊东,湖北省,武汉市
ZER,准东,新疆维吾尔自治区,昌吉回族自治州
ZHP,正定机场,河北省,石家庄市
ZBK,淄博,山东省,淄博市
ZRK,淄博北,山东省,淄博市
ZDS,诏安,福建省,漳州市
LZJ,兰州,甘肃省,兰州市
LVJ,兰州东,甘肃省,兰州市
LAJ,兰州西,甘肃省,兰州市
FLJ,福利区,甘肃省,兰州市
XIJ,西固,甘肃省,兰州市
LQJ,兰州新区,甘肃省,兰州市
GEJ,皋兰,甘肃省,兰州市
YDJ,永登,甘肃省,兰州市
HKJ,河口南,甘肃省,兰州市
XGJ,夏官营,甘肃省,兰州市
IZJ,榆中,甘肃省,兰州市
YZF,禹州,河南省,许昌市
YYH,余姚,浙江省,宁波市
