省名,站名,站名简码
安徽,安庆,AQI
安徽,安庆西,AQX
安徽,蚌埠,BBU
安徽,蚌埠南,BBN
安徽,长安集,CAJ
安徽,巢北,CBE
安徽,巢湖,CHU
安徽,池州,CZH
安徽,滁州,CZH
安徽,滁州北,CZB
安徽,定远,DYU
安徽,东至,DZH
安徽,墩义堂,DYT
安徽,肥东,FDO
安徽,肥西,FXI
安徽,凤阳,FYA
安徽,符离集,FLJ
安徽,阜南,FNA
安徽,阜阳,FYA
安徽,固镇,GZH
安徽,广德,GDE
安徽,合肥,HFE
安徽,合肥北城,HFC
安徽,合肥西,HFX
安徽,淮北,HBE
安徽,淮南,HNA
安徽,淮南东,HND
安徽,黄山,HSH
安徽,霍邱,HQI
安徽,绩溪县,JXX
安徽,金寨,JZH
安徽,柯坦,KTA
安徽,灵璧,LBI
安徽,六安,LAN
安徽,庐江,LJI
安徽,炉桥,LQI
安徽,马鞍山,MAS
安徽,明光,MGU
安徽,宁国,NGU
安徽,祁门,QME
安徽,青龙山,QLS
安徽,全椒,QJI
安徽,三十里铺,SSP
安徽,三堂集,STJ
安徽,狮子山,SZS
安徽,舒城,SCH
安徽,水家湖,SJH
安徽,宿松,SSO
安徽,宿州,SZH
安徽,宿州东,SZD
安徽,太和县,THX
安徽,太湖,THU
安徽,天柱山,TZS
安徽,桐城,TCH
安徽,铜陵,TLI
安徽,望江,WJI
安徽,涡阳,GYA
安徽,芜湖,WHU
安徽,新河,XHE
安徽,宣城,XCH
安徽,叶集,YJI
安徽,裕溪口,YXK
安徽,张集,ZJI
安徽,亳州,BZH
安徽,泗县,SXI
安徽,歙县,SXI
安徽,砀山,DSH
安徽,颍上,YSH
北京,安定,ADI
北京,八达岭,BDL
北京,北京,BJI
北京,北京北,BJB
北京,北京东,BJD
北京,北京南,BJN
北京,北京西,BJX
北京,北宅,BZH
北京,昌平,CPI
北京,昌平北,CPB
北京,大灰厂,DHC
北京,杜家坎所,DJS
北京,房山,FSH
北京,丰台,FTA
北京,丰台西,FTX
北京,高各庄,GGZ
北京,孤山口,GSK
北京,官高,GGA
北京,广安门,GAM
北京,怀柔,HRO
北京,怀柔北,HRB
北京,黄村,HCU
北京,黄土坡,HTP
北京,京联合,JLH
北京,康庄,KZH
北京,良各庄,LGZ
北京,良乡,LXI
北京,琉璃河,LLH
北京,落坡岭,LPL
北京,密云,MYU
北京,庙城,MCH
北京,南观村,NGC
北京,南口,NKO
北京,苹果园,PGY
北京,平峪,PYU
北京,青龙桥,QLQ
北京,清河,QHE
北京,清华园,QHY
北京,三合庄,SHZ
北京,三家店,SJD
北京,沙河,SHE
北京,上万,SWA
北京,十渡,SDU
北京,石景山南,SJN
北京,双桥,SQI
北京,顺义,SYI
北京,通州西,TZX
北京,统军庄,TJZ
北京,魏善庄,WSZ
北京,西道口,XDK
北京,斜河涧,XHJ
北京,延庆,YQI
北京,沿河城,YHC
北京,燕山,YSH
北京,雁翅,YCH
北京,亦庄,YZH
北京,云居寺,YJS
北京,张辛,ZXI
北京,周口店,ZKD
北京,珠窝,ZWO
福建,安溪,AXI
福建,草坂,CBA
福建,长基,CJI
福建,长庆,CQI
福建,长汀,CTI
福建,大深,DSH
福建,杜坞,DWU
福建,福安,FAN
福建,福德,FDE
福建,福鼎,FDI
福建,福清,FQI
福建,福州,FZH
福建,福州南,FZN
福建,感德,GDE
福建,格口,GKO
福建,古田,GTI
福建,冠豸山,GZS
福建,光泽,GZE
福建,涵江,HJI
福建,涵江北,HJB
福建,湖头,HTO
福建,华安,HAN
福建,基太,JTA
福建,建宁县北,JNB
福建,建阳,JYA
福建,建瓯,JOU
福建,将乐,JLE
福建,角美,JME
福建,金谷,JGU
