Station_train_code,Departure,Destination
D1,北京,沈阳南
D2,沈阳南,北京
D3,北京,沈阳南
D4,沈阳南,北京
D6,沈阳北,北京
D7,北京,沈阳北
D9,北京,沈阳南
D10,沈阳南,北京
D11,北京,沈阳南
D12,沈阳南,北京
D13,北京,沈阳北
D14,沈阳北,北京
D17,北京,沈阳南
D18,沈阳南,北京
D19,北京,长春
D20,长春,北京
D21,北京,珲春
D22,珲春,北京
D23,北京,长春西
D24,长春西,北京
D25,北京,佳木斯
D26,佳木斯,北京
D27,北京,哈尔滨西
D28,哈尔滨西,北京
D29,北京,齐齐哈尔南
D30,齐齐哈尔南,北京
D31,大连北,北京
D32,北京,大连北
D33,北京,大连北
D34,大连北,北京
D35,大连北,北京
D36,北京,大连北
D37,北京,大连北
D38,大连北,北京
D39,大连北,北京
D40,北京,大连北
D41,北京,大连北
D42,大连北,北京
D43,大连北,北京
D44,北京,大连北
D45,北京,大连北
D46,大连北,北京
D48,北京,通辽
D49,北京,通辽
D50,通辽,北京
D51,北京,沈阳北
D52,沈阳北,北京
D55,兰州,乌鲁木齐
D56,乌鲁木齐,兰州
D73,北京,吉林
D74,吉林,北京
D101,北京,哈尔滨西
D102,哈尔滨西,北京
D111,珲春,齐齐哈尔南
D112,齐齐哈尔南,珲春
D113,齐齐哈尔南,珲春
D114,珲春,齐齐哈尔南
D115,延吉西,哈尔滨西
D116,哈尔滨西,延吉西
D117,哈尔滨西,延吉西
D118,延吉西,哈尔滨西
D119,长春西,牡丹江
D120,牡丹江,长春
D121,长春,佳木斯
D122,佳木斯,长春西
D123,吉林,哈尔滨西
D124,哈尔滨西,吉林
D125,哈尔滨西,吉林
D126,吉林,哈尔滨西
D127,吉林,齐齐哈尔南
D128,齐齐哈尔南,吉林
D129,齐齐哈尔南,吉林
D130,吉林,齐齐哈尔南
D131,吉林,佳木斯
D132,哈尔滨西,吉林
D133,哈尔滨西,吉林
D134,吉林,佳木斯
D135,吉林,牡丹江
D136,牡丹江,吉林
D137,牡丹江,吉林
D138,吉林,牡丹江
D201,南宁东,广州南
D202,广州南,南宁东
D203,南宁东,广州南
D204,广州南,南宁东
D205,南宁东,广州南
D206,广州南,南宁东
D207,南宁东,广州南
D208,广州南,南宁东
D211,贵阳北,广州南
D212,广州南,贵阳北
D213,贵阳北,广州南
D214,广州南,贵阳北
D295,郑州,福州
D296,福州,郑州
D298,郑州,福州
D305,西安北,上海
D306,上海,西安北
D307,上海,西安北
D308,西安北,上海
D309,兰州西,上海
D310,上海,兰州西
D311,上海,兰州西
D312,兰州西,上海
D335,北京,青岛北
D336,青岛北,北京
D351,成都东,上海虹桥
D352,上海虹桥,成都东
D353,上海虹桥,成都东
D354,成都东,上海虹桥
D361,汉口,成都东
D362,成都东,汉口
D365,成都东,武汉
D366,武汉,成都东
D367,武汉,成都东
D368,成都东,武汉
D377,上海虹桥,深圳北
D378,深圳北,上海虹桥
D381,上海虹桥,莆田
D382,福州南,上海虹桥
D617,成都东,武汉
D618,武汉,成都东
D619,武汉,成都东
D620,成都东,武汉
D623,宜昌东,重庆北
D624,重庆北,宜昌东
D625,汉口,重庆北
D626,重庆北,汉口
D629,汉口,重庆北
D630,重庆北,汉口
D631,成都,武汉
D632,武汉,成都
D633,武汉,成都
D634,成都,武汉
D635,成都东,上海虹桥
D636,上海虹桥,成都东
D637,上海虹桥,成都东
D638,成都东,上海虹桥
D655,重庆北,宁波
